X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
0.083932,51.573773,0,0,63,20,2018/01/29 09:44:36+00,,,,,,,,,,,,,,,,,,,,,
0.08399,51.573779,0,0,64,20,2018/01/29 09:44:37+00,,,,,,,,,,,,,,,,,,,,,
0.084044,51.573776,0,0,65,20,2018/01/29 09:44:38+00,,,,,,,,,,,,,,,,,,,,,
0.084283,51.573794,0,0,66,20,2018/01/29 09:44:42+00,,,,,,,,,,,,,,,,,,,,,
0.084664,51.573842,0,0,67,20,2018/01/29 09:44:48+00,,,,,,,,,,,,,,,,,,,,,
0.084733,51.573857,0,0,68,20,2018/01/29 09:44:49+00,,,,,,,,,,,,,,,,,,,,,
0.084989,51.573913,0,0,69,20.1,2018/01/29 09:44:53+00,,,,,,,,,,,,,,,,,,,,,
0.085043,51.573927,0,0,70,20.2,2018/01/29 09:44:54+00,,,,,,,,,,,,,,,,,,,,,
0.085308,51.573992,0,0,71,20.4,2018/01/29 09:44:59+00,,,,,,,,,,,,,,,,,,,,,
0.085414,51.574026,0,0,72,20.5,2018/01/29 09:45:03+00,,,,,,,,,,,,,,,,,,,,,
0.085461,51.574042,0,0,73,20.5,2018/01/29 09:45:06+00,,,,,,,,,,,,,,,,,,,,,
0.085485,51.574049,0,0,74,20.5,2018/01/29 09:45:07+00,,,,,,,,,,,,,,,,,,,,,
0.085542,51.574054,0,0,75,20.6,2018/01/29 09:45:09+00,,,,,,,,,,,,,,,,,,,,,
0.085579,51.574058,0,0,76,20.6,2018/01/29 09:45:10+00,,,,,,,,,,,,,,,,,,,,,
0.085693,51.574082,0,0,77,20.7,2018/01/29 09:45:13+00,,,,,,,,,,,,,,,,,,,,,
0.085729,51.574099,0,0,78,20.7,2018/01/29 09:45:14+00,,,,,,,,,,,,,,,,,,,,,
0.085855,51.57412,0,0,79,20.9,2018/01/29 09:45:17+00,,,,,,,,,,,,,,,,,,,,,
0.08599,51.57414,0,0,80,21,2018/01/29 09:45:20+00,,,,,,,,,,,,,,,,,,,,,
0.086263,51.574234,0,0,81,21.5,2018/01/29 09:45:26+00,,,,,,,,,,,,,,,,,,,,,
0.086579,51.57432,0,0,82,21.9,2018/01/29 09:45:32+00,,,,,,,,,,,,,,,,,,,,,
0.086937,51.574419,0,0,83,21.6,2018/01/29 09:45:39+00,,,,,,,,,,,,,,,,,,,,,
0.087087,51.574459,0,0,84,21.5,2018/01/29 09:45:42+00,,,,,,,,,,,,,,,,,,,,,
0.087321,51.574504,0,0,85,21.3,2018/01/29 09:45:46+00,,,,,,,,,,,,,,,,,,,,,
0.087569,51.574555,0,0,86,21.1,2018/01/29 09:45:52+00,,,,,,,,,,,,,,,,,,,,,
0.087644,51.574565,0,0,87,21.1,2018/01/29 09:46:43+00,,,,,,,,,,,,,,,,,,,,,
0.087704,51.57458,0,0,88,21,2018/01/29 09:46:45+00,,,,,,,,,,,,,,,,,,,,,
0.08787,51.57462,0,0,89,20.9,2018/01/29 09:48:03+00,,,,,,,,,,,,,,,,,,,,,
0.087938,51.57464,0,0,90,20.8,2018/01/29 09:48:06+00,,,,,,,,,,,,,,,,,,,,,
0.088104,51.574673,0,0,91,20.7,2018/01/29 09:48:11+00,,,,,,,,,,,,,,,,,,,,,
0.088249,51.574701,0,0,92,20.6,2018/01/29 09:48:15+00,,,,,,,,,,,,,,,,,,,,,
0.088334,51.574726,0,0,93,20.5,2018/01/29 09:48:17+00,,,,,,,,,,,,,,,,,,,,,
0.088532,51.574773,0,0,94,20.4,2018/01/29 09:48:21+00,,,,,,,,,,,,,,,,,,,,,
0.088573,51.574792,0,0,95,20.4,2018/01/29 09:48:22+00,,,,,,,,,,,,,,,,,,,,,
0.08879,51.574854,0,0,96,20.2,2018/01/29 09:48:26+00,,,,,,,,,,,,,,,,,,,,,
0.088957,51.574932,0,0,97,20,2018/01/29 09:48:30+00,,,,,,,,,,,,,,,,,,,,,
0.089004,51.574938,0,0,98,19.9,2018/01/29 09:48:31+00,,,,,,,,,,,,,,,,,,,,,
0.089229,51.575009,0,0,99,19.7,2018/01/29 09:48:37+00,,,,,,,,,,,,,,,,,,,,,
0.089353,51.575046,0,0,100,19.5,2018/01/29 09:48:42+00,,,,,,,,,,,,,,,,,,,,,
0.089423,51.575023,0,0,101,19.3,2018/01/29 09:49:48+00,,,,,,,,,,,,,,,,,,,,,
